#,Name of the Plant,Family,Common Name,link
516,Curcuma aromatica Salisb.,ZINGIBERACEAE,Jangli-haldi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003144&column=szBarcode
517,Curcuma leucorrhiza Roxb.,ZINGIBERACEAE,Tikar (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003147&column=szBarcode
518,Curcuma longa L.,ZINGIBERACEAE,"Haldi, Halada",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003148&column=szBarcode
519,Curcuma rubescens Roxb.,ZINGIBERACEAE,Ruby (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003149&column=szBarcode
520,Curcuma zeodoria Roxb.,ZINGIBERACEAE,Kachura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003146&column=szBarcode
521,Cuscuta chinensis Lam.,CONVOLVULACEAE,Dodder (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009701&column=szBarcode
522,Cuscuta hyalina Roth.,CONVOLVULACEAE,Niradhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009702&column=szBarcode
523,Cuscuta reflexa Roxb.,CONVOLVULACEAE,"Akasbel, Amarbel",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009703&column=szBarcode
524,Cyathula prostrata Blume,AMARANTHACEAE,Lal Chirchita,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008909&column=szBarcode
525,Cycas circinalis L.,CYCADACEAE,Jangli-madan-mast-ka-phul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009738&column=szBarcode
526,Cycas rumphii Miq.,CYCADACEAE,Kama (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009737&column=szBarcode
527,Cyclea peltata Hook.f. & Thomson,MENISPERMACEAE,Bruhat patha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013498&column=szBarcode
528,Cydonia oblonga Mill.,ROSACEAE,Bihi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013723&column=szBarcode
529,Cymbidium simulans Rolfe,ORCHIDACEAE,Aloe-leafed Cymbidium (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003913&column=szBarcode
530,Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,POACEAE,"Lemongrass (Eng.), Kodi-pullu (Mal.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003173&column=szBarcode
531,Cymbopogon jwarancusa (Jones) Schult.,POACEAE,Lamajjaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003174&column=szBarcode
532,Cymbopogon martinii (Roxb.) Will.Watson,POACEAE,Gandh bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003171&column=szBarcode
533,Cymbopogon nardus (L.) Rendle,POACEAE,Ganjni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003172&column=szBarcode
534,Cymbopogon schoenanthus (L.) Spreng.,POACEAE,Rousaghas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003175&column=szBarcode
535,Cynara scolymus L.,ASTERACEAE,"Hathichak, Hathi-choke",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013671&column=szBarcode
536,Cynodon dactylon (L.) Pers.,POACEAE,"Dhub, Hariali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003247&column=szBarcode
537,Cynoglossum glochidiatum Wall. ex Benth.,BORAGINACEAE,Dhalabrauisabta (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009726&column=szBarcode
538,Cynoglossum lanceolatum Forsk.,BORAGINACEAE,Kuro (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009725&column=szBarcode
539,Cynometra ramiflora L.,CAESALPINIACEAE,Madhuka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003480&column=szBarcode
540,Cyperus articulatus L.,CYPERACEAE,Guinea Rush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003245&column=szBarcode
541,Cyperus iria L.,CYPERACEAE,Bara chuncha (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003240&column=szBarcode
542,Cyperus rotundus L.,CYPERACEAE,"Motha, Mutha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003241&column=szBarcode
543,Cyperus stoloniferous Retz.,CYPERACEAE,Jatamasi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003243&column=szBarcode
544,Cyperus triceps (Rottb.) Endl.,CYPERACEAE,Nirbisi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003239&column=szBarcode
545,Cyrtophyllum peregrinum Blume,LOGANIACEAE,Anan (Burma),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013558&column=szBarcode
546,Cytisus scoparius Link.,FABACEAE,Scotch broom (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003697&column=szBarcode
547,Dactyloctenium aegyptium (L.) Willd.,POACEAE,"Makra, Makri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003192&column=szBarcode
548,Dactylorhiza hatagirea (D. Don) Soo,ORCHIDACEAE,"Salampanja, Salam",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003157&column=szBarcode
549,Dalbergia lanceolaria L.f.,FABACEAE,"Takoli, Bithua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003647&column=szBarcode
550,Dalbergia latifolia Roxb.,FABACEAE,Shisham,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003649&column=szBarcode
551,Dalbergia pinnata (Lour.) Prain.,FABACEAE,Keti (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003645&column=szBarcode
552,Dalbergia sissoo Roxb. ex DC.,FABACEAE,"Shisham, Sissu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003651&column=szBarcode
553,Dalbergia spinosa Roxb.,FABACEAE,Chillanki (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003642&column=szBarcode
554,Dalbergia stipulacea Roxb.,FABACEAE,Tateberi (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003643&column=szBarcode
555,Dalbergia volubilis Roxb.,FABACEAE,Bhatia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003644&column=szBarcode
556,Daphne oleoides Schreb.,THYMELAEACEAE,Kutilal (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009032&column=szBarcode
557,Daphne papyracea Wall. ex Steud.,THYMELAEACEAE,Satpura setburwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009030&column=szBarcode
558,Datisca cannabina L.,DATISCACEAE,Akalbir,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013773&column=szBarcode
559,Datura innoxia Mill.,SOLANACEAE,Safed Dhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009687&column=szBarcode
560,Datura metal L.,SOLANACEAE,Sadahdhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009684&column=szBarcode
561,Datura stramonium L.,SOLANACEAE,Dhatura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009685&column=szBarcode
562,Daucas carota L.,APIACEAE,Gajar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013739&column=szBarcode
563,Decalepis hamiltonii Wight & Arn.,ASCLEPIADACEAE,Mahali kizhangu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009242&column=szBarcode
564,Deeringia amaranthoides Merill.,AMARANTHACEAE,Latman,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008905&column=szBarcode
565,Delonix elata (L.) Gamble,CAESALPINIACEAE,Sankasura (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003516&column=szBarcode
566,Delphinium brunonianum Royle,RANUNCULACEAE,Laskar (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009940&column=szBarcode
567,Delphinium denudatum Wall. ex Hook.f. & Thomson,RANUNCULACEAE,"Jadwar, Nirbisi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009939&column=szBarcode
568,Delphinium vestitum Wall. ex Royle,RANUNCULACEAE,"Juha, Kalulu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009942&column=szBarcode
569,Dendrobium crumenatum Sw.,ORCHIDACEAE,Pigeon Orchid (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003915&column=szBarcode
570,Dendrobium ovatum (L.) Kraenzl.,ORCHIDACEAE,Nagli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003912&column=szBarcode
571,Dendrocalamus strictus (Roxb.) Nees,POACEAE,"Bans kaban, Bans khurd",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003178&column=szBarcode
572,Dendrocnide sinuata (Bl.) Chaw.,URTICACEAE,"Morange, Utigun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009011&column=szBarcode
573,Dendrophthoe elastica (Desr.) Danser,LORANTHACEAE,Andagan (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009019&column=szBarcode
574,Dendrophthoe falcata (L.f.) Ettingshausen,LORANTHACEAE,Banda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009018&column=szBarcode
575,Derris ferruginea (Roxb.) Benth.,FABACEAE,"Ruphang-doukha, Aru (Assam)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003636&column=szBarcode
576,Derris indica (Lam.) Bennet.,FABACEAE,"Karanj, Dithori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003635&column=szBarcode
577,Derris scandens (Roxb.) ex. Benth.,FABACEAE,Gonj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003640&column=szBarcode
578,Derris trifoliata Lour.,FABACEAE,Panlata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003638&column=szBarcode
579,Descurainia sophia (L.) Webb ex Prantl,BRASSICACEAE,Khubkallana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013868&column=szBarcode
580,Desmodium elegans DC.,FABACEAE,Sambar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003672&column=szBarcode
581,Desmodium gangeticum (L.) DC.,FABACEAE,"Sarivan, Salpan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003682&column=szBarcode
582,Desmodium heterocarpon (L.) DC.,FABACEAE,Chepputatta (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003680&column=szBarcode
583,Desmodium pulchellum (L.) Benth.,FABACEAE,"Chapor, Dheknanadak (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003679&column=szBarcode
584,Desmodium triflorum (L.) DC.,FABACEAE,Kudaliya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003675&column=szBarcode
585,Desmodium triquetrum (L.) DC.,FABACEAE,Adkhapanal (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003676&column=szBarcode
586,Desmos chinensis Lour.,ANNONACEAE,Aitaala (Kannada),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013998&column=szBarcode
587,Desmos cochinchinensis Lour.,ANNONACEAE,Dwarf ylang-ylang (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013996&column=szBarcode
588,Desmostachya bipinnata (L.) Stapf,POACEAE,"Dab, Durva",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003183&column=szBarcode
589,Dianthus anatolicus Boiss.,CARYOPHYLLACEAE,Kanturiyan (Indian Bazaars),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003829&column=szBarcode
590,Dianthus caryophyllus L.,CARYOPHYLLACEAE,Clove pink (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003830&column=szBarcode
591,Dichroa febrifuga Lour.,SAXIFRAGACEAE,Basak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013706&column=szBarcode
592,Dichrostachys cinerea (L.) Wight & Arn.,MIMOSACEAE,"Kheri, Vartuli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003476&column=szBarcode
593,Dicliptera bupleuroides Nees,ACANTHACEAE,Bouna (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009064&column=szBarcode
594,Dicoma tomentosa Cass.,ASTERACEAE,Navananjichapala (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013673&column=szBarcode
595,Dictamnus albus L.,RUTACEAE,Burning Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009976&column=szBarcode
596,Didymocarpus pedicillatus R.Br.,GESNERIACEAE,Pathar phori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009668&column=szBarcode
597,Digera muricata (L.) Mart.,AMARANTHACEAE,Latmhuria,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008908&column=szBarcode
598,Digitalis lanata Ehrh.,SCROPHULARIACEAE,Grecian Foxglobe (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009672&column=szBarcode
599,Digitalis purpurea L.,SCROPHULARIACEAE,Common Foxglove (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009673&column=szBarcode
600,Dillenia indica L.,DILLENIACEAE,Chalta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009922&column=szBarcode
601,Dimocarpus longan Lour.,SAPINDACEAE,Ashphal (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003576&column=szBarcode
602,Dinochloa andamanica Kurz,POACEAE,Baradaha-barat (Andamans),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003177&column=szBarcode
603,Dioscorea alata L.,DIOSCOREACEAE,"Chupri alu, Khamalu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003102&column=szBarcode
604,Dioscorea bulbifera L.,DIOSCOREACEAE,"Ratalu, Suaralu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003103&column=szBarcode
605,Dioscorea deltoidea Wall. ex Kunth,DIOSCOREACEAE,"Kins (Kash.), Kriss (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003106&column=szBarcode
606,Dioscorea esculenta Burkill,DIOSCOREACEAE,"Suthni, Su nialu (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003107&column=szBarcode
607,Dioscorea oppositifolia L.,DIOSCOREACEAE,"Yellagadda, Adairdumpa (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003110&column=szBarcode
608,Dioscorea pentaphylla L.,DIOSCOREACEAE,"Bhusa, Gazaria",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003111&column=szBarcode
609,Diospyros candolleana Wight,EBENACEAE,Nila-vriksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009216&column=szBarcode
610,Diospyros ebenum Koenig,EBENACEAE,"Ebans, Abnus",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009210&column=szBarcode
611,Diospyros exsculpta Buch.-Ham.,EBENACEAE,Coromandel Ebony Persimmon (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009213&column=szBarcode
612,Diospyros kaki L.f.,EBENACEAE,Halwa tendu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009218&column=szBarcode
613,Diospyros malabarica (Desr.) Kostel.,EBENACEAE,Gaab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009208&column=szBarcode
614,Diospyros melanoxylon Roxb.,EBENACEAE,"Tendu, Timburni",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009212&column=szBarcode
615,Diospyros montana Roxb.,EBENACEAE,"Bistendu, Tendu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009207&column=szBarcode
616,Diospyros paniculata Dalzell,EBENACEAE,Thinduka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009214&column=szBarcode
617,Diospyros toposia Buch.-Ham.,EBENACEAE,Tapsi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009217&column=szBarcode
618,Diploclisia glaucescens (Blume) Diels,MENISPERMACEAE,Vatoli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013988&column=szBarcode
619,Dipterocarpus indicus Bedd.,DIPTEROCARPACEAE,Kakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003795&column=szBarcode
620,Dipterocarpus turbinatus Gaertn.f.,DIPTEROCARPACEAE,Teli-gurjun (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003791&column=szBarcode
621,Dodonaea viscosa (L.) Jacq.,SAPINDACEAE,"Sanatta, Sinatha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003578&column=szBarcode
622,Dolichandrone falcata Seem.,BIGNONIACEAE,Mersingi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009664&column=szBarcode
623,Dolichandrone spathacea K.Schum.,BIGNONIACEAE,Gorshingiah (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009902&column=szBarcode
624,Dolichos trilobus L.,FABACEAE,Minnikizhangu (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003624&column=szBarcode
625,Dolichos uniflorus Lam.,FABACEAE,Kulthi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003625&column=szBarcode
626,Draba verna L.,BRASSICACEAE,Spring Whitlowgrass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003756&column=szBarcode
627,Dracocephalum moldavica L.,LAMIACEAE,Tukhme-ferunjmishk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008887&column=szBarcode
628,Drosera burmanni Vahl,DROSERACEAE,Jalkeshar (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013713&column=szBarcode
629,Drosera peltata Sm.,DROSERACEAE,Mukhajali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013712&column=szBarcode
630,Drymaria cordata Willd.,CARYOPHYLLACEAE,"Abijalo, Bat-nongrim (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003828&column=szBarcode
631,Drynaria quercifolia (L.) J.Sm.,POLYPODIACEAE,Garur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003277&column=szBarcode
632,Dryobalanops aromatica Gaertn.f.,DIPTEROCARPACEAE,"Bhimsaini-kapur, Barus kapur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003789&column=szBarcode
633,Dryopteris filix-mas (L.) Schott.,DRYOPTERIDACEAE,Sarakhs,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003255&column=szBarcode
634,Dryopteris marginata (Wall. ex Christ.) Christ.,DRYOPTERIDACEAE,Lai-chankhrang (Manipuri),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003253&column=szBarcode
635,Drypetyes roxburghii (Wall.) Hurus.,EUPHORBIACEAE,"Jiaputa, Juti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008966&column=szBarcode
636,Durio zibethinus L.,BOMBACACEAE,Civet fruit (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003868&column=szBarcode
637,Dysoxylum alliarum (Buch.-Ham.) N.P.Balakr.,MELIACEAE,Gendheli-poma (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009898&column=szBarcode
638,Dysoxylum malabaricum Bedd.,MELIACEAE,Vellaiyagil (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009900&column=szBarcode
639,Ecballium elaterium L.,CUCURBITACEAE,Squirting Cucumber (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013777&column=szBarcode
640,Ecbolium viride (Forsk.) Alston,ACANTHACEAE,Udajati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009061&column=szBarcode
641,Echinochloa crusgalli (L.) Beauv,POACEAE,"Samak, sanwak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003159&column=szBarcode
642,Echinochloa frumentacea (Roxb.) Link.,POACEAE,"Sanwa, Shamula",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003161&column=szBarcode
643,Echinochloa stagnina (Retz.) P.Beauv.,POACEAE,Dul (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003160&column=szBarcode
644,Echinops echinatus Roxb.,ASTERACEAE,"Gokru, Utakanta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013678&column=szBarcode
645,Eclipta alba (L.) Hassk.,ASTERACEAE,"Bhangra, Babri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013679&column=szBarcode
646,Edgeworthia gardneri (Wall.) Meissn.,THYMELAEACEAE,Dhenok (lepcha),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009029&column=szBarcode
647,Ehretia aspera Roxb.,BORAGINACEAE,Tella juvi (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009709&column=szBarcode
648,Elaeagnus angustifolia L.,ELAEAGNACEAE,Shiulik,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009022&column=szBarcode
649,Elaeagnus latifolia L.,ELAEAGNACEAE,Guara (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009025&column=szBarcode
650,Elaeagnus parvifolia Wall. ex Royle,ELAEAGNACEAE,"Giwain, Kankal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009023&column=szBarcode
651,Elaeis guineensis Jacq.,ARECACEAE,African oil palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003201&column=szBarcode
652,Elaeocarpus floribundus Blume,ELAEOCARPACEAE,Jalpai (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013469&column=szBarcode
653,Elaeocarpus serratus L.,ELAEOCARPACEAE,Jalpai (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013468&column=szBarcode
654,Elaeocarpus tuberculatus Roxb.,ELAEOCARPACEAE,Rutthracham (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013467&column=szBarcode
655,Elephantopus scaber L.,ASTERACEAE,"Gobhi, Samudulan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013685&column=szBarcode
656,Eleusine coracana L.,POACEAE,"Mandua, Mandal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003193&column=szBarcode
657,Eleusine indica (L.) Gaertn.,POACEAE,Mandla,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003194&column=szBarcode
658,Elsholtzia ciliata (Thunb.) Hyl.,LAMIACEAE,Crested Late-Summer Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008895&column=szBarcode
659,Embelia ribes Burm.f.,MYRSINACEAE,"Vayavidanga, Bhabhiranga",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009226&column=szBarcode
660,Embelia tsjeriam-cottam A.DC.,MYRSINACEAE,"Babrang, Baibrang",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009228&column=szBarcode
661,Emblica officinalis Gaertn.,EUPHORBIACEAE,"Amla, Amlika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008791&column=szBarcode
662,Emilia sonchifolia (L.) DC.,ASTERACEAE,Hirankhuri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013680&column=szBarcode
663,Enhydra fluctans Lour.,ASTERACEAE,Harkuch,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013681&column=szBarcode
664,Enicostema hyssopifolium (Willd.) I.Verd.,GENTIANACEAE,Chota chirayata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013152&column=szBarcode
665,Entada pursaetha DC.,MIMOSACEAE,African dream herb (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003478&column=szBarcode
666,Ephedra girardiana Wall. ex Stapf,EPHEDRACEAE,Asmania (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009871&column=szBarcode
667,Ephedra intermedia Schrenk. & Mey,EPHEDRACEAE,Central-Asian Jointfir (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009870&column=szBarcode
668,Ephemerantha macraei (Lindl.) Hunt & Summerh,ORCHIDACEAE,Jivanti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003917&column=szBarcode
669,Epilobium angustifolium L.,ONAGRACEAE,Fireweed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013805&column=szBarcode
670,Epilobium hirsutum L.,ONAGRACEAE,Hairy Willow Weed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013806&column=szBarcode
671,Equisetum debile Roxb. ex Vaucher,EQUISETACEAE,"Trotak, Nari (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003274&column=szBarcode
672,Equisetum arvense L.,EQUISETACEAE,Field Horsetail (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003273&column=szBarcode
673,Eranthemum roseum R.Br.,ACANTHACEAE,Gulsham,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009058&column=szBarcode
674,Eria pannea Lindl.,ORCHIDACEAE,Zhu Ye Ni Mao Lan (China),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003919&column=szBarcode
675,Erigeron asteroides Roxb.,ASTERACEAE,"Sonsali, Maredi (Bombay)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013682&column=szBarcode
676,Erigeron canadensis L.,ASTERACEAE,Jarayupriya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013683&column=szBarcode
677,Eriobotrya japonica (Thunb.) Lindl.,ROSACEAE,Logat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013732&column=szBarcode
678,Eriolaena quinquelocularis Wight,STERCULIACEAE,Naiunnam (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003862&column=szBarcode
679,Erodium cicutarium (L.) L'Herit ex Aiton,GERANIACEAE,Red-Stem Filaree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009977&column=szBarcode
