#,Name of the Plant,Family,Common Name,link
33,Aconitum falconeri Stapf,RANUNCULACEAE,Bis (Gharwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009927&column=szBarcode
34,Aconitum heterophyllum Wall. ex Royle,RANUNCULACEAE,Atis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009938&column=szBarcode
35,Aconitum laciniatum (Bruhl) Stapf,RANUNCULACEAE,Kalo bikhoma (Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009933&column=szBarcode
36,Aconitum novoluridum Munz,RANUNCULACEAE,Mahoor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009928&column=szBarcode
37,Aconitum spicatum (Bruhl) Stapf,RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009934&column=szBarcode
38,Aconitum violaceum Jacq. Ex Stapf,RANUNCULACEAE,Tilia Kachang (Sutlej Basin),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009931&column=szBarcode
39,Acorus calamus L.,ARACEAE,"Bach, Gora-bach",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003221&column=szBarcode
40,Acronychia pedunculata (L.) Miq.,RUTACEAE,Paowlay (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009965&column=szBarcode
41,Actaea spicata L.,RANUNCULACEAE,Vishaphala (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009925&column=szBarcode
42,Actiniopteris radiata(Swartz) Link,ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003275&column=szBarcode
43,Actinodaphne hookeri Meissn.,LAURACEAE,Tudambo (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008845&column=szBarcode
44,Adansonia digitata L.,BOMBACACEAE,"Gorak, Amli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003871&column=szBarcode
45,Adenanthera pavonia L.,MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003924&column=szBarcode
46,Adenia wightiana (Wall. ex Wight & Arn.) Engl.,PASSIFLORACEAE,Perumkorattaikodi (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013800&column=szBarcode
47,Adenostemma lavenia (L.) Kuntze,ASTERACEAE,Jangli-jira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013621&column=szBarcode
48,Adiantum capillus-veneris L.,ADIANTACEAE,"Hansraj, Mubaraka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003282&column=szBarcode
49,Adiantum caudatum L.,ADIANTACEAE,Mayurshikha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003284&column=szBarcode
50,Adiantum philippense L.,ADIANTACEAE,Kalijhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003285&column=szBarcode
51,Adiantum venustum D.Don,ADIANTACEAE,Mayir sikki (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003279&column=szBarcode
